t,pwr
0.0,352.9495000000001
0.1,353.39689999999996
0.2,352.88160000000005
0.3,353.0703
0.4,352.7997000000001
0.5,353.10179999999997
0.6,353.12
0.7,353.088811881188
0.8,352.7612
0.9,352.65999999999997
1.0,352.6864000000001
1.1,352.99
1.2,352.97959999999995
1.3,352.85119999999995
1.4,352.76760000000013
1.5,352.98040000000003
1.6,353.08960000000025
1.7,352.9612871287128
1.8,352.8705000000001
1.9,353.0191000000001
2.0,353.1231999999999
2.1,352.8832000000004
2.2,352.6831000000002
2.3,352.9886
2.4,352.9622999999999
2.5,352.86
2.6,352.8747623762373
2.7,353.0989999999997
2.8,352.7963999999994
2.9,353.1979999999998
3.0,353.01
3.1,353.01779999999985
3.2,353.12319999999977
3.3,352.8623999999999
3.4,352.9198000000003
3.5,353.22346534653457
3.6,353.1025000000004
3.7,352.77
3.8,352.7819999999997
3.9,353.0024999999998
4.0,352.8554999999999
4.1,352.77
4.2,352.7890000000004
4.3,353.14300000000014
4.4,352.997128712871
4.5,352.76399999999967
4.6,353.0956000000001
4.7,352.99440000000016
4.8,353.08840000000026
4.9,352.83360000000073
5.0,353.38800000000026
5.1,353.1
5.2,353.0903999999997
5.3,352.8734653465343
5.4,353.2
5.5,353.19370000000015
5.6,352.9932999999999
5.7,353.10330000000016
5.8,353.21569999999986
5.9,353.3882999999994
6.0,353.0055000000001
6.1,352.87289999999973
6.2,353.2816891089104
6.3,353.0186732673265
6.4,353.39399999999944
6.5,353.1
6.6,353.0912000000002
6.7,352.6727999999997
6.8,353.29120000000023
6.9,352.8604
7.0,352.8903999999998
7.1,353.38960000000026
7.2,352.8825742574257
7.3,353.0085
7.4,352.8635000000007
7.5,353.208
7.6,353.0065000000001
7.7,352.6611
7.8,352.77
7.9,352.7724000000005
8.0,353.0109
8.1,353.0958415841585
8.2,352.68
8.3,352.86
8.4,352.77
8.5,353.12
8.6,352.46000000000004
8.7,352.65999999999997
8.8,352.9
8.9,352.9
9.0,352.9
9.1,352.7523762376243
9.2,352.6806930693069
9.3,353.09580000000005
9.4,353.1
9.5,353.38710000000003
9.6,352.86530000000107
9.7,352.46399999999994
9.8,353.09360000000015
9.9,353.0109
10.0,353.208
10.1,353.170792079208
10.2,352.8661999999998
10.3,353.32060000000024
10.4,353.21239999999995
10.5,353.4942000000001
10.6,352.8042000000013
10.7,353.2016000000002
10.8,353.50400000000013
10.9,353.0885999999998
11.0,353.11881188118815
11.1,352.8678000000004
11.2,353.40320000000037
11.3,353.1290000000005
11.4,352.8677999999998
11.5,353.0928000000001
11.6,353.1
11.7,353.1
11.8,352.9739000000002
11.9,352.8147999999999
12.0,352.9156435643565
12.1,353.0927999999998
12.2,352.97519999999986
12.3,352.8836000000001
