t,pwr
0.0,618.3721999999989
0.1,622.7094000000018
0.2,625.6885148514849
0.3,628.3230000000018
0.4,631.405
0.5,635.2219999999935
0.6,638.491
0.7,638.446
0.8,627.2559999999894
0.9,622.1844257425716
1.0,620.6282138613876
1.1,617.8119999999992
1.2,612.9076999999987
1.3,607.3825999999949
1.4,602.3986999999989
1.5,597.2906000000071
1.6,589.2384227722737
1.7,578.6236950495172
1.8,637.0732000000415
1.9,678.5712000000082
2.0,684.9243999999991
2.1,683.4627999999989
2.2,680.8752000000029
2.3,680.0264
2.4,676.5122772277197
2.5,670.4483000000055
2.6,661.7540999999934
2.7,653.5921000000062
2.8,649.136599999998
2.9,643.0613999999948
3.0,634.5367000000075
3.1,626.568217821776
3.2,619.5683663366376
3.3,610.3267999999905
3.4,598.7706000000071
3.5,587.8092000000141
3.6,577.02659999999
3.7,615.3781999999624
3.8,640.5580000000048
3.9,653.508118811874
4.0,664.1519999999916
4.1,672.6670000000105
4.2,679.0519999999983
4.3,682.5085000000031
4.4,686.2774999999986
4.5,690.8809999999946
4.6,694.197500000003
4.7,699.0414851485137
4.8,692.6731999999818
4.9,690.2279999999996
5.0,693.9343999999966
5.1,696.1468
5.2,696.1600000000007
5.3,697.5796000000036
5.4,698.8088118811881
5.5,697.5525000000015
5.6,693.160499999999
5.7,690.4022000000008
5.8,701.9359000000301
5.9,706.9239999999995
6.0,702.6971000000033
6.1,698.0434999999993
6.2,693.8150495049526
6.3,691.1329999999992
6.4,689.0474000000011
6.5,687.4498000000006
6.6,687.3744000000003
6.7,675.5386000000088
6.8,668.0842
6.9,664.4355227722799
7.0,660.7160396039612
7.1,656.2014999999961
7.2,648.875300000002
7.3,639.6048999999934
7.4,628.2858000000028
7.5,615.565600000003
7.6,603.141699999992
7.7,591.0998019801991
7.8,631.5560000000686
7.9,668.8199999999999
8.0,669.3580000000095
8.1,663.168
8.2,657.684
8.3,652.0659999999947
8.4,646.408
8.5,639.2136633663467
8.6,629.8137999999976
8.7,616.9256999999966
8.8,602.8164999999842
8.9,648.5441000000199
9.0,695.9450999999779
9.1,705.6871000000006
9.2,712.7346297029421
9.3,714.1851465346372
9.4,713.2414000000008
9.5,721.2367999999892
9.6,715.7573999999917
9.7,704.3054000000055
9.8,689.9255999999907
9.9,681.4209999999999
10.0,686.1089108910833
10.1,691.315700000002
10.2,691.2933000000014
10.3,695.5611000000063
10.4,684.407899999982
10.5,673.8150999999991
10.6,672.788399999998
10.7,672.8381999999986
10.8,662.0600990098843
10.9,651.1028000000013
11.0,646.2040000000084
11.1,641.7223999999972
11.2,637.414800000002
11.3,634.3167999999987
11.4,628.5516000000034
11.5,635.4804396039362
11.6,644.3240198019805
11.7,646.5479999999995
11.8,650.5850000000047
11.9,653.8984999999997
12.0,657.3164999999954
12.1,662.1990000000063
12.2,668.3619999999993
12.3,674.3831683168387
12.4,680.4084000000008
12.5,687.7647999999926
12.6,693.3306000000005
12.7,694.7064000000003
12.8,692.2657999999942
12.9,688.1977999999995
13.0,684.6944000000028
13.1,680.5125742574244
13.2,673.0844000000064
13.3,663.3682999999842
13.4,652.8263999999957
13.5,639.7454000000101
13.6,623.4784999999932
13.7,606.9514000000107
