t,pwr
0.0,0.0
0.1,27.11
0.2,27.11
0.3,27.11
0.4,27.11
0.5,27.10675213675213
0.6,27.09034188034188
0.7,27.1074358974359
0.8,27.11
0.9,27.11
1.0,27.11
1.1,27.11
1.2,27.11
1.3,27.11
1.4,27.11
1.5,27.11
1.6,27.11
1.7,27.11
1.8,27.11
1.9,27.11
2.0,27.11
2.1,27.11
2.2,27.11
2.3,27.11
2.4,27.11
2.5,27.11
2.6,27.11
2.7,27.11
2.8,27.11
2.9,27.11
3.0,27.11
3.1,27.11
3.2,27.11
3.3,27.11
3.4,27.11
3.5,27.11
3.6,27.11
3.7,27.11
3.8,27.11
3.9,27.11
4.0,27.11
4.1,27.11
4.2,27.11
4.3,27.11
4.4,27.11
4.5,27.11
4.6,27.11
4.7,27.11
4.8,27.11
4.9,27.11
5.0,27.11
5.1,27.11
5.2,27.11
5.3,27.11
5.4,27.11
5.5,27.11
5.6,27.11
5.7,27.11
5.8,27.11
5.9,27.11
6.0,27.11
6.1,27.11
6.2,27.11
6.3,27.11
6.4,27.11
6.5,27.11
6.6,27.11
6.7,27.11
6.8,27.11
6.9,27.11
7.0,27.11
7.1,27.11
7.2,27.11
7.3,27.11
7.4,27.11
7.5,27.11
7.6,27.11
7.7,27.11
7.8,27.11
7.9,27.11
8.0,27.11
8.1,27.11
8.2,27.11
8.3,27.11
8.4,27.11
8.5,27.11
8.6,27.11
8.7,27.11
8.8,27.11
8.9,27.11
9.0,27.11
9.1,27.11
9.2,27.11
9.3,27.11
9.4,27.11
9.5,27.11
9.6,27.11
9.7,27.11
9.8,27.11
9.9,27.11
10.0,26.93068965517241
10.1,26.993448275862068
10.2,27.11
10.3,27.11
10.4,27.11
10.5,27.11
10.6,27.11
10.7,27.11
10.8,27.11
10.9,27.11
11.0,27.11
11.1,27.11
11.2,27.11
11.3,27.11
11.4,27.11
11.5,27.11
11.6,27.11
11.7,27.11
11.8,27.11
11.9,27.11
12.0,27.11
12.1,27.11
12.2,27.11
12.3,27.11
12.4,27.10593220338983
12.5,27.09
12.6,27.09
12.7,27.07521008403361
12.8,47.957631578947485
12.9,61.84052631578948
13.0,62.366
13.1,62.81
13.2,62.81
13.3,62.81
13.4,62.81
13.5,62.81
13.6,62.81
13.7,62.81
13.8,62.81
13.9,62.81
14.0,62.81
14.1,62.81
14.2,62.97631578947368
14.3,63.05
14.4,63.05429824561404
14.5,63.05708333333333
14.6,63.05
14.7,63.05
14.8,63.05
14.9,63.05
15.0,63.05
15.1,63.05
15.2,63.05
15.3,63.05
15.4,63.05
15.5,63.05
15.6,63.05
15.7,63.05
15.8,63.05
15.9,63.05
16.0,63.05
16.1,63.05
16.2,63.05
16.3,63.05844827586207
16.4,63.05310924369748
16.5,63.05552631578947
16.6,63.05577586206896
16.7,63.05
16.8,63.05
16.9,63.05
17.0,63.05
17.1,63.05
17.2,63.05617391304348
17.3,63.05513043478261
17.4,63.05359649122807
17.5,63.05765217391304
17.6,63.05
17.7,63.05
17.8,63.05
17.9,63.05
18.0,63.05
18.1,63.05
18.2,63.05
18.3,63.05
18.4,63.05
18.5,63.05
18.6,63.05780701754386
18.7,63.05336283185841
18.8,63.05
18.9,63.053859649122806
19.0,63.057391304347824
19.1,63.05
19.2,63.05008547008547
19.3,63.05863247863248
19.4,63.05269565217391
19.5,63.05
19.6,63.05
19.7,63.05322033898305
19.8,63.06
19.9,63.06
20.0,63.06
20.1,63.05220338983051
20.2,63.20050847457627
20.3,63.29
