t,pwr
0.0,78.19
0.1,308.083004322516
0.2,308.0892
0.3,308.15376237623764
0.4,308.0417
0.5,308.0482
0.6,308.1137
0.7,307.99260000000004
0.8,308.05207920792077
0.9,308.078
1.0,308.026
1.1,308.11
1.2,308.057
1.3,308.0232673267327
1.4,308.1268
1.5,308.08660000000003
1.6,308.0444
1.7,308.0934
1.8,308.0377
1.9,307.99440000000004
2.0,308.0695712871287
2.1,308.00958811881185
2.2,308.03520000000003
2.3,308.0752
2.4,307.9928712871287
2.5,308.0670514851485
2.6,308.0974
2.7,308.013
2.8,308.06029702970295
2.9,308.07
3.0,308.00120000000004
3.1,308.04960396039604
3.2,308.08548514851486
3.3,308.0305
3.4,308.1305
3.5,308.05742574257425
3.6,308.0484
3.7,308.1172
3.8,308.0628
3.9,308.1256
4.0,308.1568
4.1,308.060198019802
4.2,308.0483
4.3,308.0666
4.4,307.9455
4.5,308.01861386138614
4.6,308.03180000000003
4.7,307.9644
4.8,308.0156
4.9,307.9972
5.0,307.99
5.1,308.04740000000004
5.2,308.0031683168317
5.3,307.9576
5.4,308.0391
5.5,307.9547
5.6,307.9705
5.7,308.0120792079208
5.8,307.8999603960396
5.9,307.966
6.0,307.98199999999997
6.1,307.932
6.2,308.0229702970297
6.3,308.0342
6.4,307.9905
6.5,308.05884356435644
6.6,308.0330910891089
6.7,308.0434
6.8,308.1124
6.9,308.0218811881188
7.0,308.0131
7.1,308.0585
7.2,307.9622
7.3,307.9756663366337
7.4,308.03564752475245
7.5,308.012
7.6,308.0532
7.7,308.07000000000005
7.8,308.0092
7.9,308.0727722772277
8.0,308.055
8.1,307.995
8.2,308.025
8.3,307.9425
8.4,307.9322772277228
8.5,307.9918
8.6,307.9138
8.7,307.88
8.8,307.9535603960396
8.9,307.91427326732673
9.0,307.9484
9.1,308.0211
9.2,308.0472277227723
9.3,308.1148
9.4,308.1256
9.5,308.084
9.6,308.1492
9.7,308.1872
9.8,308.1972
9.9,308.2071287128713
10.0,308.1603
10.1,308.1329
10.2,308.13710000000003
10.3,308.0548
10.4,308.0981
10.5,308.13702970297027
10.6,308.084
10.7,308.067
10.8,308.042
10.9,308.03
11.0,308.0577227722772
11.1,308.0769
11.2,308.0869
11.3,308.13078514851486
11.4,308.1024633663366
11.5,308.12760000000003
11.6,308.170198019802
11.7,308.13980000000004
11.8,308.1602
11.9,308.15319999999997
12.0,308.1068316831683
12.1,308.1098
12.2,308.1002
12.3,308.0768
12.4,308.07
12.5,308.0570613861386
12.6,308.0499306930693
12.7,308.063
12.8,308.0505
12.9,308.0855
13.0,308.13599999999997
13.1,308.098
13.2,308.13435643564355
13.3,308.1764
13.4,308.12239999999997
13.5,308.1028
13.6,308.12919999999997
13.7,308.1016
13.8,308.1180198019802
13.9,308.1337
14.0,308.1174
14.1,308.1478
14.2,308.10762376237625
14.3,308.1134
14.4,308.14
14.5,308.1152
14.6,308.1491089108911
14.7,308.1861
14.8,308.14168316831683
14.9,308.152
15.0,308.174
15.1,308.152
15.2,308.206
15.3,308.220297029703
15.4,308.21184059405937
15.5,308.2318
15.6,308.1987
15.7,308.19342475247527
15.8,308.20983366336634
15.9,308.152
16.0,308.1564
16.1,308.19
16.2,308.13779999999997
16.3,308.1574257425743
16.4,308.1886
16.5,308.1914
16.6,308.2228
16.7,308.2229
16.8,308.2328
16.9,308.2842
17.0,308.2761386138614
17.1,308.2724
17.2,308.29560000000004
17.3,308.2496
17.4,308.238
17.5,308.2768
17.6,308.2622772277228
17.7,308.2785
17.8,308.277
17.9,308.294
18.0,308.3135
18.1,308.29455445544556
18.2,308.3278
18.3,308.3222
18.4,308.2792
18.5,308.27
18.6,308.2382
18.7,308.2471
18.8,308.3118
18.9,308.2822772277228
19.0,308.2404
19.1,308.2812
19.2,308.2684
19.3,308.28148514851483
19.4,308.3096
19.5,308.2798
19.6,308.27
19.7,308.25
19.8,308.215
19.9,308.22
20.0,308.19
20.1,308.15
20.2,308.19465346534656
20.3,308.19079999999997
20.4,308.1696
20.5,308.2047
20.6,308.20059405940594
20.7,308.16560000000004
20.8,308.1644
20.9,308.1704
21.0,308.18399999999997
21.1,308.1672277227723
21.2,308.1341
21.3,308.16409999999996
21.4,308.15226534653465
21.5,308.1661069306931
21.6,308.2384
21.7,308.2324
21.8,308.2046
21.9,308.21
22.0,308.228
22.1,308.2635
22.2,308.271
22.3,308.24663366336637
22.4,308.23879999999997
22.5,308.2236
22.6,308.2032
22.7,308.242
22.8,308.2568
22.9,308.25759504950497
23.0,308.28
23.1,308.2456
23.2,308.2258
23.3,308.2812871287129
23.4,308.289
23.5,308.2726
23.6,308.2442574257426
23.7,308.1882
23.8,308.2164
23.9,308.2195
24.0,308.210297029703
24.1,308.26800000000003
24.2,308.29
24.3,308.276
24.4,308.3080396039604
24.5,308.29611683168315
24.6,308.2795
24.7,308.31
24.8,308.29455445544556
24.9,308.28520000000003
25.0,308.2948
25.1,308.28139999999996
25.2,308.3075247524753
25.3,308.2941
25.4,308.2611
25.5,308.30219999999997
25.6,308.3070297029703
25.7,308.2572
25.8,308.26279999999997
25.9,308.2212
26.0,308.188
26.1,308.1736633663366
26.2,308.0795
26.3,308.06
26.4,308.0285
26.5,307.96999999999997
26.6,307.98699999999997
26.7,307.9928
26.8,307.94
26.9,307.9502
27.0,307.92273663366336
27.1,307.8732316831683
27.2,307.96659999999997
27.3,307.9604613861386
27.4,307.94246732673264
27.5,307.9676
27.6,307.92316831683166
27.7,307.9455
27.8,307.9738
27.9,307.9941
28.0,308.09148514851483
28.1,308.098
28.2,308.03
28.3,308.118
28.4,308.130297029703
28.5,308.0745
28.6,308.1071
28.7,308.0913
28.8,308.07
28.9,308.0728712871287
29.0,308.0688
29.1,308.068
29.2,308.1092
29.3,308.0496
29.4,308.1221782178218
29.5,308.1557
29.6,308.1143
29.7,308.19079999999997
29.8,308.2065
29.9,308.1806930693069
30.0,308.2152
30.1,308.2092
30.2,308.1656
30.3,308.19715445544557
30.4,308.1524257425743
30.5,308.1525
30.6,308.1925
30.7,308.13970297029704
30.8,308.2348
30.9,308.2356
31.0,308.202
31.1,308.2423762376238
31.2,308.2339
31.3,308.1915
31.4,308.2277
31.5,308.2108
31.6,308.20504950495047
31.7,308.2724
31.8,308.21659999999997
31.9,308.25524752475246
32.0,308.2869
32.1,308.21049999999997
32.2,308.26259999999996
32.3,308.30168316831686
32.4,308.274
32.5,308.29
32.6,308.266
32.7,308.18188118811884
32.8,308.2205
32.9,308.1724
33.0,308.1533
33.1,308.1929
33.2,308.12376237623766
33.3,308.1418
33.4,308.1392
33.5,308.1026
33.6,308.15999999999997
33.7,308.1447
33.8,308.0768
33.9,308.11
34.0,308.0948514851485
34.1,308.0328
34.2,308.0952
34.3,308.0732
34.4,308.0963366336634
34.5,308.127
34.6,308.116
34.7,308.156
34.8,308.17960396039604
34.9,308.12559999999996
35.0,308.1628
35.1,308.1688
35.2,308.10693069306933
35.3,308.1474
35.4,308.1248
35.5,308.09000000000003
35.6,308.0809
35.7,308.0252
35.8,308.0612871287129
35.9,308.0652
36.0,308.0408
36.1,308.12237623762377
36.2,308.1312
36.3,308.0699
36.4,308.14340000000004
36.5,308.09217821782175
36.6,308.117
36.7,308.176
36.8,308.146
36.9,308.2
37.0,308.1940792079208
37.1,308.1454900990099
37.2,308.2
37.3,308.19010000000003
37.4,308.0972
37.5,308.1691
37.6,308.15376237623764
37.7,308.0932
37.8,308.1236
37.9,308.0516
38.0,308.0731683168317
38.1,308.1086
38.2,308.0963
38.3,308.1814
38.4,308.19653465346533
38.5,308.1548
38.6,308.2318
38.7,308.25585346534655
38.8,308.1924059405941
38.9,308.239
39.0,308.2185
39.1,308.1914702970297
39.2,308.2178099009901
39.3,308.1692
39.4,308.1504
39.5,308.1568316831683
39.6,308.0809
39.7,308.1124
39.8,308.1873
39.9,308.1024
40.0,308.18059405940596
40.1,308.19820000000004
40.2,308.1112
40.3,308.170396039604
40.4,308.1899
40.5,308.1803
40.6,308.20910000000003
40.7,308.119801980198
40.8,308.1
40.9,308.18
41.0,308.09000000000003
41.1,308.12
41.2,308.17940594059405
41.3,308.0315
41.4,308.16859999999997
41.5,308.1106
41.6,308.06099009900987
41.7,308.158
41.8,308.1894
41.9,308.1214
42.0,308.12009702970295
42.1,308.071497029703
42.2,308.11850000000004
42.3,308.1782
42.4,308.04554455445543
42.5,308.1168
42.6,308.1296
42.7,308.0148
42.8,308.0765346534654
42.9,308.061
43.0,308.003
43.1,308.038
43.2,307.9271287128713
43.3,307.9388
43.4,307.98699999999997
43.5,307.87831683168315
43.6,307.9072
43.7,307.9565
43.8,307.8484
43.9,307.9051
44.0,307.9560396039604
44.1,307.8864
44.2,307.95360000000005
44.3,307.914
44.4,307.84623762376236
44.5,307.8946
44.6,307.8636
44.7,307.8780198019802
44.8,307.934
44.9,307.88599999999997
45.0,307.9156435643564
45.1,307.9645
45.2,307.9344
45.3,308.0012
45.4,308.01
45.5,307.9659405940594
45.6,307.9776
45.7,307.92719999999997
45.8,307.92
45.9,307.9374
46.0,307.88779999999997
46.1,307.8974
46.2,307.9348
46.3,307.8710891089109
46.4,307.94599999999997
46.5,307.9858
46.6,307.9559405940594
46.7,308.0265
46.8,308.0655
46.9,308.053
47.0,308.09250000000003
47.1,308.0665049504951
47.2,308.0851841584158
47.3,308.1236
47.4,308.06280000000004
47.5,308.10040000000004
47.6,308.1266336633663
47.7,308.0387
47.8,308.0532
47.9,308.0683
48.0,308.01189999999997
48.1,308.0
48.2,307.9671287128713
48.3,307.9354
48.4,307.99559999999997
48.5,307.9362
48.6,308.01742574257423
48.7,308.1129564356436
48.8,308.04900000000004
48.9,308.0867
49.0,308.1486
49.1,308.1114
49.2,308.1561386138614
49.3,308.17007920792076
49.4,308.154
49.5,308.19
49.6,308.16831683168317
49.7,308.1758
49.8,308.2432
49.9,308.2047
50.0,308.25249603960395
50.1,308.32468712871287
50.2,308.262
50.3,308.28679999999997
50.4,308.2691089108911
50.5,308.2446
50.6,308.2554
50.7,308.2369
50.8,308.1918811881188
50.9,308.2484
51.0,308.1712
51.1,308.14
51.2,308.2084
51.3,308.1547524752475
51.4,308.1825
51.5,308.2075
51.6,308.1425
51.7,308.135
51.8,308.14
51.9,308.095
52.0,308.1319801980198
